candidate_domain,candidate_skills,candidate_years_experience,candidate_education,cv_text,job_domain,job_skills,job_years_required,job_description,relevance_score
Design UI/UX,InVision;Photoshop;Adobe XD;User Research,11,Bac+5 (Master / Ingénieur),"Rim - Bac+5 (Master / Ingénieur) - 11 années d'expérience professionnelle en Design UI/UX. A travaillé pendant 11 ans sur des projets liés à Design UI/UX, en mettant en œuvre InVision, Photoshop, Adobe XD, User Research. Qualités personnelles : gestion du stress, communication, rigueur.",Design UI/UX,InVision;Tests utilisateurs;Motion Design;UX Writing;Accessibilité,5,"Nous recherchons un profil Design UI/UX justifiant d'au moins 5 ans d'expérience. Compétences requises : InVision, Tests utilisateurs, Motion Design, UX Writing, Accessibilité. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",57.07
Réseaux / Systèmes,PowerShell;Linux;Routage;VPN;Active Directory,6,Bac+2 (BTS/DUT),"Profil Réseaux / Systèmes avec 6 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : PowerShell, Linux, Routage, VPN, Active Directory. Domaine principal : Réseaux / Systèmes. Qualités personnelles : gestion du stress, rigueur, adaptabilité.",Réseaux / Systèmes,PowerShell;Sécurité réseau;Windows Server;Linux;Cisco;DNS,2,"Nous recherchons un profil Réseaux / Systèmes justifiant d'au moins 2 ans d'expérience. Compétences requises : PowerShell, Sécurité réseau, Windows Server, Linux, Cisco, DNS. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",68.18
Développement Logiciel,SASS;CI/CD;Java;Python;Spring;JUnit;JavaScript;Kafka;Spring Boot;REST API;MySQL,3,Bac+3 (Licence),"Candidat motivé, 3 ans d'expérience en Développement Logiciel, Bac+3 (Licence). A travaillé pendant 3 ans sur des projets liés à Développement Logiciel, en mettant en œuvre SASS, CI/CD, Java, Python, Spring, JUnit, JavaScript, Kafka, Spring Boot, REST API, MySQL. Qualités personnelles : esprit d'équipe, adaptabilité, gestion du stress.",Data Science / Intelligence Artificielle,Pandas;Feature Engineering;NumPy;Data Warehousing;TensorFlow;Big Data,5,"Poste ouvert dans le domaine Data Science / Intelligence Artificielle, 5 ans d'expérience minimum requis. Compétences requises : Pandas, Feature Engineering, NumPy, Data Warehousing, TensorFlow, Big Data. Le candidat idéal maîtrise ces technologies et outils dans un contexte Data Science / Intelligence Artificielle.",28.02
Gestion de Projet,Reporting projet;PRINCE2;Kanban;Gestion des risques;Scrum;Roadmap produit,7,Bac+3 (Licence),"Molka - Bac+3 (Licence) - 7 années d'expérience professionnelle en Gestion de Projet. Expérience professionnelle de 7 ans incluant l'utilisation de Reporting projet, PRINCE2, Kanban, Gestion des risques, Scrum, Roadmap produit dans des projets Gestion de Projet. Qualités personnelles : esprit critique, rigueur, adaptabilité.",Gestion de Projet,Agile;Gestion des risques;Scrum;Planification;PMP;Budget projet;Product Owner;Kanban;Reporting projet,1,"Nous recherchons un profil Gestion de Projet justifiant d'au moins 1 ans d'expérience. Compétences requises : Agile, Gestion des risques, Scrum, Planification, PMP, Budget projet, Product Owner, Kanban, Reporting projet. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",70.91
Développement Logiciel,CI/CD;JUnit;HTML;Redis;Spring Boot;Content Marketing,3,Bac+3 (Licence),"Farah - Bac+3 (Licence) - 3 années d'expérience professionnelle en Développement Logiciel. A travaillé pendant 3 ans sur des projets liés à Développement Logiciel, en mettant en œuvre CI/CD, JUnit, HTML, Redis, Spring Boot, Content Marketing. Qualités personnelles : communication, créativité, leadership.",Développement Logiciel,MongoDB;Microservices;PostgreSQL;Git;Python;GraphQL;MySQL;Angular;Vue.js;Spring Boot,7,"Poste ouvert dans le domaine Développement Logiciel, 7 ans d'expérience minimum requis. Compétences requises : MongoDB, Microservices, PostgreSQL, Git, Python, GraphQL, MySQL, Angular, Vue.js, Spring Boot. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",30.17
Développement Logiciel,MongoDB;Redis;SASS;Python;Maven;Node.js;Git;CSS;Kafka,4,Bac+3 (Licence),"Candidat motivé, 4 ans d'expérience en Développement Logiciel, Bac+3 (Licence). Compétences techniques maîtrisées : MongoDB, Redis, SASS, Python, Maven, Node.js, Git, CSS, Kafka. Domaine principal : Développement Logiciel. Qualités personnelles : adaptabilité, résolution de problèmes, autonomie.",Développement Logiciel,Gradle;Redis;Maven;Design Patterns;TypeScript;PostgreSQL;MySQL;Node.js;GraphQL,5,"Nous recherchons un profil Développement Logiciel justifiant d'au moins 5 ans d'expérience. Compétences requises : Gradle, Redis, Maven, Design Patterns, TypeScript, PostgreSQL, MySQL, Node.js, GraphQL. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",58.92
Design UI/UX,InVision;After Effects;Design System;Accessibilité;Photoshop;User Research;Motion Design;Sketch;Adobe XD,1,Bac+3 (Licence),"Ahmed - Bac+3 (Licence) - 1 années d'expérience professionnelle en Design UI/UX. A travaillé pendant 1 ans sur des projets liés à Design UI/UX, en mettant en œuvre InVision, After Effects, Design System, Accessibilité, Photoshop, User Research, Motion Design, Sketch, Adobe XD. Qualités personnelles : rigueur, esprit critique, adaptabilité.",Design UI/UX,Illustrator;Figma;Motion Design;Photoshop;Design System,5,"Nous recherchons un profil Design UI/UX justifiant d'au moins 5 ans d'expérience. Compétences requises : Illustrator, Figma, Motion Design, Photoshop, Design System. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",41.66
Ressources Humaines,SIRH;Paie;Relations sociales;Recrutement;Gestion des talents;GPEC;Entretien annuel;Onboarding;Droit du travail;Workday;ISO 27001,4,Bac+3 (Licence),"Candidat motivé, 4 ans d'expérience en Ressources Humaines, Bac+3 (Licence). A travaillé pendant 4 ans sur des projets liés à Ressources Humaines, en mettant en œuvre SIRH, Paie, Relations sociales, Recrutement, Gestion des talents, GPEC, Entretien annuel, Onboarding, Droit du travail, Workday, ISO 27001. Qualités personnelles : sens de l'organisation, esprit critique, résolution de problèmes.",Marketing Digital,Stratégie digitale;Marketing Automation;Community Management;Growth Hacking;CRM;Email Marketing;Branding;Copywriting;Google Ads;Content Marketing,3,"Poste ouvert dans le domaine Marketing Digital, 3 ans d'expérience minimum requis. Compétences requises : Stratégie digitale, Marketing Automation, Community Management, Growth Hacking, CRM, Email Marketing, Branding, Copywriting, Google Ads, Content Marketing. Le candidat idéal maîtrise ces technologies et outils dans un contexte Marketing Digital.",46.27
Design UI/UX,User Research;InVision;Adobe XD;UI Design;Illustrator;Photoshop;UX Writing,5,Bac+5 (Master / Ingénieur),"Karim, Bac+5 (Master / Ingénieur), 5 ans d'expérience dans le domaine Design UI/UX. A travaillé pendant 5 ans sur des projets liés à Design UI/UX, en mettant en œuvre User Research, InVision, Adobe XD, UI Design, Illustrator, Photoshop, UX Writing. Qualités personnelles : autonomie, rigueur, leadership.",Design UI/UX,Wireframing;Sketch;After Effects;InVision;Prototypage;User Research;Design System;Design Thinking;Figma,1,"Poste ouvert dans le domaine Design UI/UX, 1 ans d'expérience minimum requis. Compétences requises : Wireframing, Sketch, After Effects, InVision, Prototypage, User Research, Design System, Design Thinking, Figma. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",58.8
Finance / Comptabilité,IFRS;Comptabilité générale;Fiscalité;SAP;Budgétisation;Reporting financier;Audit financier;Excel avancé;Gestion des risques financiers;Analyse financière,8,Bac+2 (BTS/DUT),"Candidat motivé, 8 ans d'expérience en Finance / Comptabilité, Bac+2 (BTS/DUT). A travaillé pendant 8 ans sur des projets liés à Finance / Comptabilité, en mettant en œuvre IFRS, Comptabilité générale, Fiscalité, SAP, Budgétisation, Reporting financier, Audit financier, Excel avancé, Gestion des risques financiers, Analyse financière. Qualités personnelles : leadership, gestion du stress, curiosité.",Finance / Comptabilité,IFRS;Contrôle de gestion;Trésorerie;Audit financier;Comptabilité générale;Budgétisation;Reporting financier;Analyse financière;Fiscalité;Excel avancé,1,"Poste ouvert dans le domaine Finance / Comptabilité, 1 ans d'expérience minimum requis. Compétences requises : IFRS, Contrôle de gestion, Trésorerie, Audit financier, Comptabilité générale, Budgétisation, Reporting financier, Analyse financière, Fiscalité, Excel avancé. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",82.42
DevOps / Cloud,Linux;Monitoring;GitLab CI;Prometheus;Cloud Security;GCP;Nginx;AWS;Bash,3,Bac+5 (Master / Ingénieur),"Yassine - Bac+5 (Master / Ingénieur) - 3 années d'expérience professionnelle en DevOps / Cloud. A travaillé pendant 3 ans sur des projets liés à DevOps / Cloud, en mettant en œuvre Linux, Monitoring, GitLab CI, Prometheus, Cloud Security, GCP, Nginx, AWS, Bash. Qualités personnelles : esprit critique, communication, esprit d'équipe.",Design UI/UX,Figma;Illustrator;Photoshop;Sketch;Design System,7,"Nous recherchons un profil Design UI/UX justifiant d'au moins 7 ans d'expérience. Compétences requises : Figma, Illustrator, Photoshop, Sketch, Design System. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",23.81
Gestion de Projet,Budget projet;PRINCE2;Roadmap produit;Agile;Kanban;Jira;PostgreSQL,3,Doctorat (PhD),"Candidat motivé, 3 ans d'expérience en Gestion de Projet, Doctorat (PhD). Expérience professionnelle de 3 ans incluant l'utilisation de Budget projet, PRINCE2, Roadmap produit, Agile, Kanban, Jira, PostgreSQL dans des projets Gestion de Projet. Qualités personnelles : curiosité, rigueur, communication.",Gestion de Projet,Product Owner;PMP;Agile;Jira;Budget projet;Roadmap produit;Scrum;Kanban;PRINCE2;Reporting projet,7,"Poste ouvert dans le domaine Gestion de Projet, 7 ans d'expérience minimum requis. Compétences requises : Product Owner, PMP, Agile, Jira, Budget projet, Roadmap produit, Scrum, Kanban, PRINCE2, Reporting projet. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",43.64
Data Science / Intelligence Artificielle,TensorFlow;Hadoop;Big Data;MLOps;Data Visualization;PyTorch;Data Warehousing;scikit-learn;Tableau;NLP;Power BI,8,Bac+5 (Master / Ingénieur),"Marwa - Bac+5 (Master / Ingénieur) - 8 années d'expérience professionnelle en Data Science / Intelligence Artificielle. Expérience professionnelle de 8 ans incluant l'utilisation de TensorFlow, Hadoop, Big Data, MLOps, Data Visualization, PyTorch, Data Warehousing, scikit-learn, Tableau, NLP, Power BI dans des projets Data Science / Intelligence Artificielle. Qualités personnelles : rigueur, communication, adaptabilité.",Design UI/UX,InVision;UX Writing;Prototypage;Figma;Design System;After Effects;Sketch;Motion Design;Photoshop;UI Design,2,"Poste ouvert dans le domaine Design UI/UX, 2 ans d'expérience minimum requis. Compétences requises : InVision, UX Writing, Prototypage, Figma, Design System, After Effects, Sketch, Motion Design, Photoshop, UI Design. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",50.97
Design UI/UX,Sketch;Design System;UI Design;Wireframing;Motion Design;User Research;Photoshop,2,Bac+5 (Master / Ingénieur),"Candidat motivé, 2 ans d'expérience en Design UI/UX, Bac+5 (Master / Ingénieur). Expérience professionnelle de 2 ans incluant l'utilisation de Sketch, Design System, UI Design, Wireframing, Motion Design, User Research, Photoshop dans des projets Design UI/UX. Qualités personnelles : esprit d'équipe, communication, adaptabilité.",Design UI/UX,Design System;Tests utilisateurs;Accessibilité;Motion Design;Prototypage;After Effects;User Research;InVision;UX Writing,3,"Offre d'emploi : spécialiste Design UI/UX, expérience minimale de 3 ans. Compétences requises : Design System, Tests utilisateurs, Accessibilité, Motion Design, Prototypage, After Effects, User Research, InVision, UX Writing. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",51.01
Réseaux / Systèmes,TCP/IP;Linux;Routage;PowerShell;Virtualisation;Sécurité réseau;VPN;Active Directory,4,Bac+5 (Master / Ingénieur),"Candidat motivé, 4 ans d'expérience en Réseaux / Systèmes, Bac+5 (Master / Ingénieur). Expérience professionnelle de 4 ans incluant l'utilisation de TCP/IP, Linux, Routage, PowerShell, Virtualisation, Sécurité réseau, VPN, Active Directory dans des projets Réseaux / Systèmes. Qualités personnelles : curiosité, créativité, résolution de problèmes.",Réseaux / Systèmes,Sécurité réseau;TCP/IP;VMware;PowerShell,2,"Nous recherchons un profil Réseaux / Systèmes justifiant d'au moins 2 ans d'expérience. Compétences requises : Sécurité réseau, TCP/IP, VMware, PowerShell. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",82.4
Design UI/UX,Tests utilisateurs;Illustrator;Accessibilité;Design Thinking;UX Writing;Design System;Adobe XD;Figma;Motion Design;UI Design;Photoshop;Wireframing,4,Bac+3 (Licence),"Amine, Bac+3 (Licence), 4 ans d'expérience dans le domaine Design UI/UX. Expérience professionnelle de 4 ans incluant l'utilisation de Tests utilisateurs, Illustrator, Accessibilité, Design Thinking, UX Writing, Design System, Adobe XD, Figma, Motion Design, UI Design, Photoshop, Wireframing dans des projets Design UI/UX. Qualités personnelles : sens de l'organisation, communication, esprit critique.",Design UI/UX,Adobe XD;Illustrator;Sketch;UX Writing,5,"Poste ouvert dans le domaine Design UI/UX, 5 ans d'expérience minimum requis. Compétences requises : Adobe XD, Illustrator, Sketch, UX Writing. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",87.43
Data Science / Intelligence Artificielle,Data Warehousing;Tableau;Spark;Data Visualization;A/B Testing;Computer Vision;R,2,Bac+2 (BTS/DUT),"Karim - Bac+2 (BTS/DUT) - 2 années d'expérience professionnelle en Data Science / Intelligence Artificielle. Compétences techniques maîtrisées : Data Warehousing, Tableau, Spark, Data Visualization, A/B Testing, Computer Vision, R. Domaine principal : Data Science / Intelligence Artificielle. Qualités personnelles : créativité, esprit d'équipe, curiosité.",DevOps / Cloud,Ansible;Networking;Vagrant;GitLab CI;GCP;Terraform;Jenkins;Helm;Infrastructure as Code;Azure,1,"Nous recherchons un profil DevOps / Cloud justifiant d'au moins 1 ans d'expérience. Compétences requises : Ansible, Networking, Vagrant, GitLab CI, GCP, Terraform, Jenkins, Helm, Infrastructure as Code, Azure. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",49.39
Finance / Comptabilité,Consolidation;Modélisation financière;IFRS;Analyse financière;Reporting financier;Excel avancé;SAP;Trésorerie,4,Doctorat (PhD),"Profil Finance / Comptabilité avec 4 ans d'expérience. Diplôme : Doctorat (PhD). Compétences techniques maîtrisées : Consolidation, Modélisation financière, IFRS, Analyse financière, Reporting financier, Excel avancé, SAP, Trésorerie. Domaine principal : Finance / Comptabilité. Qualités personnelles : autonomie, adaptabilité, curiosité.",Finance / Comptabilité,Power BI;SAP;Trésorerie;Consolidation;Gestion des risques financiers,2,"Poste ouvert dans le domaine Finance / Comptabilité, 2 ans d'expérience minimum requis. Compétences requises : Power BI, SAP, Trésorerie, Consolidation, Gestion des risques financiers. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",81.3
Data Science / Intelligence Artificielle,Statistiques;Power BI;Data Visualization;Deep Learning;Keras;Machine Learning;Hadoop;SQL;NLP;Python;A/B Testing;TensorFlow,3,Bac+5 (Master / Ingénieur),"Rim, Bac+5 (Master / Ingénieur), 3 ans d'expérience dans le domaine Data Science / Intelligence Artificielle. Compétences techniques maîtrisées : Statistiques, Power BI, Data Visualization, Deep Learning, Keras, Machine Learning, Hadoop, SQL, NLP, Python, A/B Testing, TensorFlow. Domaine principal : Data Science / Intelligence Artificielle. Qualités personnelles : adaptabilité, créativité, esprit d'équipe.",Cybersécurité,Wireshark;Audit de sécurité;Forensics;Cryptographie;Gestion des risques;Analyse de vulnérabilités;IAM,3,"Nous recherchons un profil Cybersécurité justifiant d'au moins 3 ans d'expérience. Compétences requises : Wireshark, Audit de sécurité, Forensics, Cryptographie, Gestion des risques, Analyse de vulnérabilités, IAM. Le candidat idéal maîtrise ces technologies et outils dans un contexte Cybersécurité.",40.76
Ressources Humaines,Formation professionnelle;GPEC;Onboarding;Droit du travail;SuccessFactors;Recrutement,3,Doctorat (PhD),"Firas - Doctorat (PhD) - 3 années d'expérience professionnelle en Ressources Humaines. Expérience professionnelle de 3 ans incluant l'utilisation de Formation professionnelle, GPEC, Onboarding, Droit du travail, SuccessFactors, Recrutement dans des projets Ressources Humaines. Qualités personnelles : gestion du stress, communication, leadership.",Développement Logiciel,SOLID;Microservices;Spring Boot;Angular;Git;REST API;PostgreSQL;Gradle;Kubernetes,7,"Poste ouvert dans le domaine Développement Logiciel, 7 ans d'expérience minimum requis. Compétences requises : SOLID, Microservices, Spring Boot, Angular, Git, REST API, PostgreSQL, Gradle, Kubernetes. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",28.23
Développement Logiciel,RabbitMQ;Python;Java;MongoDB;PostgreSQL;HTML;React;JUnit;TypeScript;Node.js;CI/CD;Gestion des talents,0,Bac+5 (Master / Ingénieur),"Profil Développement Logiciel avec 0 ans d'expérience. Diplôme : Bac+5 (Master / Ingénieur). A travaillé pendant 0 ans sur des projets liés à Développement Logiciel, en mettant en œuvre RabbitMQ, Python, Java, MongoDB, PostgreSQL, HTML, React, JUnit, TypeScript, Node.js, CI/CD, Gestion des talents. Qualités personnelles : sens de l'organisation, communication, autonomie.",Développement Logiciel,MySQL;Git;JUnit;Vue.js;Microservices;CSS;Kubernetes;HTML;React,3,"Offre d'emploi : spécialiste Développement Logiciel, expérience minimale de 3 ans. Compétences requises : MySQL, Git, JUnit, Vue.js, Microservices, CSS, Kubernetes, HTML, React. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",12.55
DevOps / Cloud,GCP;GitLab CI;Prometheus;Linux;Load Balancing;Networking,8,Bac+3 (Licence),"Emna - Bac+3 (Licence) - 8 années d'expérience professionnelle en DevOps / Cloud. Compétences techniques maîtrisées : GCP, GitLab CI, Prometheus, Linux, Load Balancing, Networking. Domaine principal : DevOps / Cloud. Qualités personnelles : adaptabilité, créativité, esprit critique.",Réseaux / Systèmes,Active Directory;DHCP;VPN;Sécurité réseau;Virtualisation;Cisco;Switching;DNS;TCP/IP;PowerShell,1,"Offre d'emploi : spécialiste Réseaux / Systèmes, expérience minimale de 1 ans. Compétences requises : Active Directory, DHCP, VPN, Sécurité réseau, Virtualisation, Cisco, Switching, DNS, TCP/IP, PowerShell. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",48.77
